Ship Mode,Segment,Country,City,State,Postal Code,Region,Category,Sub-Category,Sales,Quantity,Discount,Profit,Profit Margin,Profit Status,Sales Category
Standard Class,Consumer,United States,Lawrence,Massachusetts,1841,East,Office Supplies,Fasteners,22.20,5.00,0.00,10.43,47.00,Profit,Low Sales
Standard Class,Home Office,United States,Lakeland,Florida,33801,South,Furniture,Chairs,683.95,3.00,0.20,42.75,6.25,Profit,High Sales
Standard Class,Home Office,United States,Lakeland,Florida,33801,South,Furniture,Furnishings,45.70,3.00,0.20,5.14,11.25,Profit,Low Sales
Standard Class,Consumer,United States,Philadelphia,Pennsylvania,19134,East,Office Supplies,Storage,36.34,3.00,0.20,-7.27,-20.00,Loss,Low Sales
Standard Class,Consumer,United States,Philadelphia,Pennsylvania,19134,East,Office Supplies,Supplies,666.25,1.00,0.20,-149.91,-22.50,Loss,High Sales
Standard Class,Consumer,United States,Philadelphia,Pennsylvania,19134,East,Office Supplies,Envelopes,52.51,6.00,0.20,19.69,37.50,Profit,Low Sales
Second Class,Corporate,United States,Los Angeles,California,90036,West,Furniture,Chairs,190.72,1.00,0.20,11.92,6.25,Profit,Low Sales
Standard Class,Consumer,United States,Los Angeles,California,90032,West,Furniture,Furnishings,47.94,3.00,0.00,2.40,5.00,Profit,Low Sales
Second Class,Consumer,United States,Montgomery,Alabama,36116,South,Technology,Phones,979.95,5.00,0.00,274.39,28.00,Profit,High Sales
Second Class,Consumer,United States,Montgomery,Alabama,36116,South,Office Supplies,Binders,22.75,5.00,0.00,11.38,50.00,Profit,Low Sales
Standard Class,Consumer,United States,Mesa,Arizona,85204,West,Office Supplies,Storage,16.77,2.00,0.20,1.47,8.75,Profit,Low Sales
Second Class,Consumer,United States,Chicago,Illinois,60653,Central,Office Supplies,Binders,42.62,7.00,0.80,-68.19,-160.00,Loss,Low Sales
Standard Class,Home Office,United States,New York City,New York,10009,East,Office Supplies,Binders,10.75,4.00,0.20,3.36,31.25,Profit,Low Sales
Standard Class,Consumer,United States,Henderson,Kentucky,42420,South,Office Supplies,Appliances,152.94,3.00,0.00,41.29,27.00,Profit,Low Sales
Standard Class,Consumer,United States,Henderson,Kentucky,42420,South,Furniture,Chairs,283.92,4.00,0.00,70.98,25.00,Profit,Low Sales
First Class,Consumer,United States,Green Bay,Wisconsin,54302,Central,Technology,Accessories,468.90,6.00,0.00,206.32,44.00,Profit,Low Sales
First Class,Corporate,United States,Tucson,Arizona,85705,West,Technology,Phones,380.86,8.00,0.20,38.09,10.00,Profit,Low Sales
Standard Class,Consumer,United States,Springfield,Ohio,45503,East,Office Supplies,Storage,646.78,9.00,0.20,-145.52,-22.50,Loss,High Sales
Standard Class,Consumer,United States,Fort Worth,Texas,76106,Central,Technology,Accessories,58.11,2.00,0.20,7.26,12.50,Profit,Low Sales
Standard Class,Consumer,United States,Fort Worth,Texas,76106,Central,Technology,Phones,100.79,1.00,0.20,6.30,6.25,Profit,Low Sales
Standard Class,Consumer,United States,Fort Worth,Texas,76106,Central,Furniture,Furnishings,66.11,4.00,0.60,-84.29,-127.50,Loss,Low Sales
First Class,Home Office,United States,New York City,New York,10035,East,Office Supplies,Binders,41.28,6.00,0.20,13.93,33.75,Profit,Low Sales
First Class,Home Office,United States,New York City,New York,10035,East,Office Supplies,Paper,13.36,2.00,0.00,6.41,48.00,Profit,Low Sales
Second Class,Corporate,United States,Chicago,Illinois,60653,Central,Office Supplies,Storage,250.27,9.00,0.20,15.64,6.25,Profit,Low Sales
Second Class,Corporate,United States,Chicago,Illinois,60653,Central,Office Supplies,Binders,11.36,3.00,0.80,-17.05,-150.00,Loss,Low Sales
Second Class,Corporate,United States,Chicago,Illinois,60653,Central,Office Supplies,Supplies,8.72,5.00,0.20,-1.74,-20.00,Loss,Low Sales
Second Class,Consumer,United States,San Francisco,California,94110,West,Furniture,Chairs,1121.57,2.00,0.20,0.00,0.00,Loss,High Sales
First Class,Consumer,United States,Jacksonville,Florida,32216,South,Furniture,Furnishings,34.50,1.00,0.20,6.04,17.50,Profit,Low Sales
Standard Class,Consumer,United States,Houston,Texas,77070,Central,Office Supplies,Fasteners,10.82,3.00,0.20,2.57,23.75,Profit,Low Sales
Second Class,Corporate,United States,Anaheim,California,92804,West,Office Supplies,Storage,1295.78,2.00,0.00,310.99,24.00,Profit,High Sales
Second Class,Consumer,United States,Wilmington,North Carolina,28403,South,Office Supplies,Art,19.46,4.00,0.20,3.40,17.50,Profit,Low Sales
Standard Class,Consumer,United States,Los Angeles,California,90045,West,Office Supplies,Labels,20.70,2.00,0.00,9.94,48.00,Profit,Low Sales
Standard Class,Consumer,United States,Los Angeles,California,90045,West,Furniture,Tables,1335.68,4.00,0.20,-217.05,-16.25,Loss,High Sales
Standard Class,Consumer,United States,Los Angeles,California,90045,West,Office Supplies,Paper,32.40,5.00,0.00,15.55,48.00,Profit,Low Sales
Second Class,Consumer,United States,San Francisco,California,94110,West,Furniture,Furnishings,42.60,3.00,0.00,16.61,39.00,Profit,Low Sales
Second Class,Consumer,United States,San Francisco,California,94110,West,Office Supplies,Binders,84.06,7.00,0.20,27.32,32.50,Profit,Low Sales
Second Class,Consumer,United States,Tampa,Florida,33614,South,Office Supplies,Appliances,13.00,5.00,0.20,1.30,10.00,Profit,Low Sales
Second Class,Consumer,United States,Tampa,Florida,33614,South,Furniture,Furnishings,13.13,3.00,0.20,3.77,28.75,Profit,Low Sales
First Class,Consumer,United States,Seattle,Washington,98105,West,Office Supplies,Fasteners,3.96,2.00,0.00,0.00,0.00,Loss,Low Sales
First Class,Consumer,United States,Seattle,Washington,98105,West,Office Supplies,Labels,2.61,1.00,0.00,1.20,46.00,Profit,Low Sales
First Class,Consumer,United States,Los Angeles,California,90008,West,Technology,Phones,374.38,3.00,0.20,46.80,12.50,Profit,Low Sales
Standard Class,Corporate,United States,Seattle,Washington,98105,West,Office Supplies,Paper,91.84,8.00,0.00,45.00,49.00,Profit,Low Sales
Standard Class,Corporate,United States,Seattle,Washington,98105,West,Office Supplies,Binders,81.09,7.00,0.20,27.37,33.75,Profit,Low Sales
Standard Class,Corporate,United States,Seattle,Washington,98105,West,Office Supplies,Paper,19.44,3.00,0.00,9.33,48.00,Profit,Low Sales
Standard Class,Corporate,United States,Seattle,Washington,98105,West,Furniture,Chairs,451.15,3.00,0.20,0.00,0.00,Loss,Low Sales
Standard Class,Consumer,United States,New York City,New York,10024,East,Office Supplies,Labels,72.45,7.00,0.00,34.78,48.00,Profit,Low Sales
Standard Class,Consumer,United States,New York City,New York,10024,East,Office Supplies,Fasteners,13.96,4.00,0.00,6.42,46.00,Profit,Low Sales
Standard Class,Consumer,United States,New York City,New York,10024,East,Office Supplies,Binders,33.26,7.00,0.20,11.23,33.75,Profit,Low Sales
Standard Class,Consumer,United States,New York City,New York,10024,East,Technology,Phones,14.85,3.00,0.00,4.01,27.00,Profit,Low Sales
Standard Class,Consumer,United States,Marysville,Washington,98270,West,Office Supplies,Art,8.82,3.00,0.00,2.38,27.00,Profit,Low Sales
Second Class,Consumer,United States,Long Beach,California,90805,West,Office Supplies,Paper,160.72,14.00,0.00,78.75,49.00,Profit,Low Sales
Second Class,Consumer,United States,Long Beach,California,90805,West,Office Supplies,Paper,19.92,4.00,0.00,9.76,49.00,Profit,Low Sales
Second Class,Consumer,United States,Long Beach,California,90805,West,Office Supplies,Supplies,7.30,2.00,0.00,2.19,30.00,Profit,Low Sales
Standard Class,Consumer,United States,Chicago,Illinois,60610,Central,Office Supplies,Storage,69.71,2.00,0.20,8.71,12.50,Profit,Low Sales
Standard Class,Consumer,United States,Chicago,Illinois,60610,Central,Furniture,Furnishings,8.79,1.00,0.60,-5.71,-65.00,Loss,Low Sales
Standard Class,Consumer,United States,Los Angeles,California,90004,West,Office Supplies,Supplies,51.52,4.00,0.00,1.55,3.00,Profit,Low Sales
Standard Class,Consumer,United States,Denver,Colorado,80219,West,Technology,Phones,470.38,3.00,0.20,52.92,11.25,Profit,Low Sales
Standard Class,Consumer,United States,Denver,Colorado,80219,West,Technology,Phones,105.58,2.00,0.20,9.24,8.75,Profit,Low Sales
Standard Class,Consumer,United States,Denver,Colorado,80219,West,Office Supplies,Appliances,31.15,3.00,0.20,3.50,11.25,Profit,Low Sales
Standard Class,Consumer,United States,Denver,Colorado,80219,West,Office Supplies,Binders,6.78,7.00,0.70,-4.75,-70.00,Loss,Low Sales
Standard Class,Consumer,United States,Denver,Colorado,80219,West,Technology,Phones,406.37,4.00,0.20,30.48,7.50,Profit,Low Sales
Standard Class,Consumer,United States,Richmond,Kentucky,40475,South,Furniture,Chairs,70.98,1.00,0.00,4.97,7.00,Profit,Low Sales
Standard Class,Consumer,United States,Richmond,Kentucky,40475,South,Office Supplies,Labels,294.93,3.00,0.00,144.52,49.00,Profit,Low Sales
Standard Class,Consumer,United States,Salem,Oregon,97301,West,Technology,Phones,84.78,2.00,0.20,-20.14,-23.75,Loss,Low Sales
Standard Class,Consumer,United States,Salem,Oregon,97301,West,Office Supplies,Paper,20.74,4.00,0.20,7.26,35.00,Profit,Low Sales
Standard Class,Consumer,United States,Salem,Oregon,97301,West,Office Supplies,Binders,16.82,3.00,0.70,-12.90,-76.67,Loss,Low Sales
Standard Class,Consumer,United States,Salem,Oregon,97301,West,Office Supplies,Paper,10.37,2.00,0.20,3.63,35.00,Profit,Low Sales
Standard Class,Consumer,United States,Laredo,Texas,78041,Central,Office Supplies,Art,9.34,2.00,0.20,1.17,12.50,Profit,Low Sales
Standard Class,Consumer,United States,Laredo,Texas,78041,Central,Technology,Accessories,31.20,3.00,0.20,9.75,31.25,Profit,Low Sales
Standard Class,Consumer,United States,San Diego,California,92024,West,Office Supplies,Appliances,76.12,2.00,0.00,22.07,29.00,Profit,Low Sales
Standard Class,Consumer,United States,San Diego,California,92024,West,Technology,Copiers,1199.98,3.00,0.20,434.99,36.25,Profit,High Sales
Standard Class,Consumer,United States,San Diego,California,92024,West,Technology,Phones,445.96,5.00,0.20,55.75,12.50,Profit,Low Sales
Standard Class,Consumer,United States,San Diego,California,92024,West,Furniture,Furnishings,327.76,8.00,0.00,91.77,28.00,Profit,Low Sales
First Class,Consumer,United States,Philadelphia,Pennsylvania,19134,East,Office Supplies,Supplies,11.63,2.00,0.20,1.02,8.75,Profit,Low Sales
Standard Class,Consumer,United States,Philadelphia,Pennsylvania,19120,East,Technology,Phones,143.98,3.00,0.40,-28.80,-20.00,Loss,Low Sales
Standard Class,Consumer,United States,Philadelphia,Pennsylvania,19120,East,Technology,Phones,494.38,4.00,0.40,-115.35,-23.33,Loss,Low Sales
Standard Class,Consumer,United States,Philadelphia,Pennsylvania,19120,East,Office Supplies,Supplies,5.84,2.00,0.20,0.73,12.50,Profit,Low Sales
Standard Class,Consumer,United States,Tampa,Florida,33614,South,Office Supplies,Storage,142.78,1.00,0.20,17.85,12.50,Profit,Low Sales
Standard Class,Consumer,United States,Tampa,Florida,33614,South,Furniture,Furnishings,45.70,3.00,0.20,5.14,11.25,Profit,Low Sales
Standard Class,Consumer,United States,Tampa,Florida,33614,South,Office Supplies,Binders,7.22,3.00,0.70,-5.53,-76.67,Loss,Low Sales
Standard Class,Consumer,United States,Tampa,Florida,33614,South,Office Supplies,Binders,43.19,4.00,0.70,-31.67,-73.33,Loss,Low Sales
Standard Class,Consumer,United States,Tampa,Florida,33614,South,Office Supplies,Paper,131.90,3.00,0.20,47.82,36.25,Profit,Low Sales
Standard Class,Consumer,United States,Philadelphia,Pennsylvania,19134,East,Office Supplies,Binders,3.28,2.00,0.70,-2.63,-80.00,Loss,Low Sales
Standard Class,Consumer,United States,Philadelphia,Pennsylvania,19134,East,Office Supplies,Art,21.17,9.00,0.20,2.38,11.25,Profit,Low Sales
Standard Class,Consumer,United States,Philadelphia,Pennsylvania,19134,East,Technology,Phones,55.19,2.00,0.40,-10.12,-18.33,Loss,Low Sales
First Class,Corporate,United States,Dallas,Texas,75217,Central,Technology,Phones,369.58,3.00,0.20,41.58,11.25,Profit,Low Sales
First Class,Corporate,United States,Dallas,Texas,75217,Central,Office Supplies,Labels,15.71,4.00,0.20,5.70,36.25,Profit,Low Sales
Second Class,Corporate,United States,Philadelphia,Pennsylvania,19143,East,Office Supplies,Paper,8.45,2.00,0.20,2.64,31.25,Profit,Low Sales
Second Class,Corporate,United States,Philadelphia,Pennsylvania,19143,East,Technology,Phones,728.95,9.00,0.40,-157.94,-21.67,Loss,High Sales
Second Class,Consumer,United States,Grove City,Ohio,43123,East,Technology,Phones,119.94,10.00,0.40,15.99,13.33,Profit,Low Sales
Second Class,Consumer,United States,Grove City,Ohio,43123,East,Office Supplies,Binders,3.65,2.00,0.70,-2.80,-76.67,Loss,Low Sales
Second Class,Corporate,United States,New York City,New York,10011,East,Furniture,Furnishings,40.48,2.00,0.00,15.79,39.00,Profit,Low Sales
Second Class,Corporate,United States,New York City,New York,10011,East,Furniture,Furnishings,9.94,2.00,0.00,3.08,31.00,Profit,Low Sales
Second Class,Corporate,United States,New York City,New York,10011,East,Office Supplies,Binders,107.42,9.00,0.20,33.57,31.25,Profit,Low Sales
Second Class,Corporate,United States,New York City,New York,10011,East,Technology,Phones,37.91,1.00,0.00,10.99,29.00,Profit,Low Sales
Second Class,Corporate,United States,New York City,New York,10011,East,Furniture,Furnishings,88.02,3.00,0.00,27.29,31.00,Profit,Low Sales
Standard Class,Consumer,United States,Chicago,Illinois,60610,Central,Office Supplies,Binders,8.69,5.00,0.80,-14.77,-170.00,Loss,Low Sales
Standard Class,Corporate,United States,Dearborn,Michigan,48126,Central,Furniture,Chairs,301.96,2.00,0.00,87.57,29.00,Profit,Low Sales
Standard Class,Corporate,United States,Dearborn,Michigan,48126,Central,Office Supplies,Appliances,555.21,5.00,0.10,178.90,32.22,Profit,High Sales
Standard Class,Corporate,United States,Dearborn,Michigan,48126,Central,Office Supplies,Storage,523.48,4.00,0.00,130.87,25.00,Profit,High Sales
Standard Class,Corporate,United States,Dearborn,Michigan,48126,Central,Office Supplies,Art,161.82,9.00,0.00,46.93,29.00,Profit,Low Sales
Standard Class,Home Office,United States,New York City,New York,10009,East,Furniture,Furnishings,35.56,7.00,0.00,12.09,34.00,Profit,Low Sales
Standard Class,Consumer,United States,Seattle,Washington,98115,West,Office Supplies,Appliances,97.16,2.00,0.00,28.18,29.00,Profit,Low Sales
Standard Class,Consumer,United States,San Francisco,California,94122,West,Office Supplies,Binders,15.24,5.00,0.20,5.14,33.75,Profit,Low Sales
Standard Class,Consumer,United States,San Francisco,California,94122,West,Office Supplies,Paper,13.23,3.00,0.00,6.09,46.00,Profit,Low Sales
Second Class,Consumer,United States,Aurora,Colorado,80013,West,Office Supplies,Storage,243.38,3.00,0.20,-51.72,-21.25,Loss,Low Sales
Second Class,Consumer,United States,Aurora,Colorado,80013,West,Technology,Accessories,119.80,5.00,0.20,29.95,25.00,Profit,Low Sales
Second Class,Consumer,United States,Aurora,Colorado,80013,West,Technology,Phones,300.77,4.00,0.20,30.08,10.00,Profit,Low Sales
Second Class,Consumer,United States,Miami,Florida,33180,South,Technology,Accessories,17.88,3.00,0.20,2.46,13.75,Profit,Low Sales
Second Class,Consumer,United States,Miami,Florida,33180,South,Office Supplies,Labels,235.94,3.00,0.20,85.53,36.25,Profit,Low Sales
Second Class,Corporate,United States,Warner Robins,Georgia,31088,South,Furniture,Chairs,392.94,3.00,0.00,43.22,11.00,Profit,Low Sales
Standard Class,Consumer,United States,Aurora,Colorado,80013,West,Office Supplies,Binders,18.88,3.00,0.70,-13.85,-73.33,Loss,Low Sales
Standard Class,Consumer,United States,Aurora,Colorado,80013,West,Office Supplies,Appliances,122.33,3.00,0.20,12.23,10.00,Profit,Low Sales
Standard Class,Home Office,United States,Vallejo,California,94591,West,Furniture,Furnishings,1049.20,5.00,0.00,272.79,26.00,Profit,High Sales
Standard Class,Home Office,United States,Vallejo,California,94591,West,Office Supplies,Binders,15.42,4.00,0.20,5.01,32.50,Profit,Low Sales
Standard Class,Corporate,United States,Minneapolis,Minnesota,55407,Central,Furniture,Furnishings,18.84,3.00,0.00,6.03,32.00,Profit,Low Sales
Second Class,Consumer,United States,Mission Viejo,California,92691,West,Office Supplies,Storage,330.40,2.00,0.00,85.90,26.00,Profit,Low Sales
Second Class,Consumer,United States,Mission Viejo,California,92691,West,Office Supplies,Labels,26.25,7.00,0.00,12.60,48.00,Profit,Low Sales
Standard Class,Consumer,United States,Rochester Hills,Michigan,48307,Central,Technology,Accessories,132.52,4.00,0.00,54.33,41.00,Profit,Low Sales
Standard Class,Home Office,United States,Plainfield,New Jersey,7060,East,Office Supplies,Paper,6.48,1.00,0.00,3.18,49.00,Profit,Low Sales
Standard Class,Home Office,United States,Columbus,Indiana,47201,Central,Office Supplies,Appliances,209.30,2.00,0.00,56.51,27.00,Profit,Low Sales
Standard Class,Corporate,United States,Sierra Vista,Arizona,85635,West,Office Supplies,Fasteners,31.56,5.00,0.20,9.86,31.25,Profit,Low Sales
Standard Class,Corporate,United States,Sierra Vista,Arizona,85635,West,Office Supplies,Appliances,30.14,2.00,0.20,3.01,10.00,Profit,Low Sales
Second Class,Corporate,United States,Vancouver,Washington,98661,West,Furniture,Furnishings,14.80,4.00,0.00,6.07,41.00,Profit,Low Sales
Second Class,Corporate,United States,Vancouver,Washington,98661,West,Technology,Phones,302.38,3.00,0.20,22.68,7.50,Profit,Low Sales
Second Class,Corporate,United States,Vancouver,Washington,98661,West,Technology,Accessories,316.00,4.00,0.00,31.60,10.00,Profit,Low Sales
Standard Class,Home Office,United States,New York City,New York,10024,East,Office Supplies,Paper,379.40,10.00,0.00,178.32,47.00,Profit,Low Sales
Standard Class,Corporate,United States,New York City,New York,10035,East,Office Supplies,Paper,97.82,2.00,0.00,45.98,47.00,Profit,Low Sales
Standard Class,Corporate,United States,New York City,New York,10035,East,Technology,Accessories,103.12,8.00,0.00,10.31,10.00,Profit,Low Sales
Standard Class,Consumer,United States,Columbus,Ohio,43229,East,Office Supplies,Appliances,113.55,2.00,0.20,8.52,7.50,Profit,Low Sales
Standard Class,Consumer,United States,Columbus,Ohio,43229,East,Office Supplies,Binders,3.32,2.00,0.70,-2.65,-80.00,Loss,Low Sales
Standard Class,Consumer,United States,Columbus,Ohio,43229,East,Office Supplies,Envelopes,134.29,2.00,0.20,45.32,33.75,Profit,Low Sales
Same Day,Home Office,United States,Aurora,Illinois,60505,Central,Furniture,Chairs,701.37,2.00,0.30,-50.10,-7.14,Loss,High Sales
Same Day,Home Office,United States,Aurora,Illinois,60505,Central,Office Supplies,Binders,2.31,2.00,0.80,-3.46,-150.00,Loss,Low Sales
Standard Class,Consumer,United States,Arlington,Texas,76017,Central,Office Supplies,Storage,999.43,7.00,0.20,124.93,12.50,Profit,High Sales
Standard Class,Consumer,United States,Arlington,Texas,76017,Central,Office Supplies,Storage,724.08,14.00,0.20,-135.77,-18.75,Loss,High Sales
Standard Class,Consumer,United States,Arlington,Texas,76017,Central,Furniture,Tables,918.79,5.00,0.30,-118.13,-12.86,Loss,High Sales
Standard Class,Consumer,United States,Arlington,Texas,76017,Central,Office Supplies,Binders,2.72,3.00,0.80,-4.22,-155.00,Loss,Low Sales
Standard Class,Corporate,United States,New York City,New York,10011,East,Office Supplies,Storage,459.95,5.00,0.00,18.40,4.00,Profit,Low Sales
Same Day,Consumer,United States,Louisville,Kentucky,40214,South,Office Supplies,Fasteners,10.74,3.00,0.00,5.26,49.00,Profit,Low Sales
Second Class,Corporate,United States,Dallas,Texas,75081,Central,Office Supplies,Supplies,23.76,3.00,0.20,2.08,8.75,Profit,Low Sales
Second Class,Corporate,United States,Dallas,Texas,75081,Central,Office Supplies,Paper,85.06,3.00,0.20,28.71,33.75,Profit,Low Sales
Second Class,Corporate,United States,Dallas,Texas,75081,Central,Technology,Phones,381.58,3.00,0.20,28.62,7.50,Profit,Low Sales
First Class,Consumer,United States,Cleveland,Ohio,44105,East,Furniture,Furnishings,30.36,5.00,0.20,8.73,28.75,Profit,Low Sales
Standard Class,Home Office,United States,Chicago,Illinois,60653,Central,Furniture,Furnishings,23.98,3.00,0.60,-14.39,-60.00,Loss,Low Sales
Standard Class,Home Office,United States,Chicago,Illinois,60653,Central,Furniture,Tables,108.93,1.00,0.50,-71.89,-66.00,Loss,Low Sales
Standard Class,Home Office,United States,Chicago,Illinois,60653,Central,Office Supplies,Paper,36.35,8.00,0.20,11.36,31.25,Profit,Low Sales
Standard Class,Consumer,United States,Quincy,Illinois,62301,Central,Office Supplies,Art,19.56,5.00,0.20,1.71,8.75,Profit,Low Sales
First Class,Consumer,United States,Columbus,Indiana,47201,Central,Office Supplies,Appliances,61.44,3.00,0.00,16.59,27.00,Profit,Low Sales
First Class,Consumer,United States,Columbus,Indiana,47201,Central,Office Supplies,Paper,38.90,5.00,0.00,17.51,45.00,Profit,Low Sales
First Class,Consumer,United States,Columbus,Indiana,47201,Central,Technology,Accessories,99.39,3.00,0.00,40.75,41.00,Profit,Low Sales
Standard Class,Consumer,United States,Tyler,Texas,75701,Central,Office Supplies,Appliances,2.69,3.00,0.80,-7.39,-275.00,Loss,Low Sales
Standard Class,Consumer,United States,Tyler,Texas,75701,Central,Technology,Accessories,27.82,3.00,0.20,4.52,16.25,Profit,Low Sales
Standard Class,Consumer,United States,Tyler,Texas,75701,Central,Furniture,Furnishings,82.52,3.00,0.60,-41.26,-50.00,Loss,Low Sales
Standard Class,Consumer,United States,Tyler,Texas,75701,Central,Office Supplies,Binders,182.99,3.00,0.80,-320.24,-175.00,Loss,Low Sales
Standard Class,Consumer,United States,New York City,New York,10024,East,Office Supplies,Binders,14.35,3.00,0.20,4.66,32.50,Profit,Low Sales
Standard Class,Consumer,United States,New York City,New York,10024,East,Office Supplies,Storage,64.96,2.00,0.00,2.60,4.00,Profit,Low Sales
Standard Class,Consumer,United States,New York City,New York,10024,East,Office Supplies,Storage,68.60,4.00,0.00,18.52,27.00,Profit,Low Sales
Same Day,Corporate,United States,Burlington,North Carolina,27217,South,Technology,Machines,7999.98,4.00,0.50,-3839.99,-48.00,Loss,High Sales
Same Day,Corporate,United States,Burlington,North Carolina,27217,South,Office Supplies,Appliances,167.44,2.00,0.20,14.65,8.75,Profit,Low Sales
First Class,Consumer,United States,Jackson,Mississippi,39212,South,Technology,Accessories,479.97,3.00,0.00,163.19,34.00,Profit,Low Sales
First Class,Consumer,United States,Jackson,Mississippi,39212,South,Office Supplies,Labels,14.62,2.00,0.00,6.87,47.00,Profit,Low Sales
First Class,Consumer,United States,Jackson,Mississippi,39212,South,Office Supplies,Paper,19.44,3.00,0.00,9.33,48.00,Profit,Low Sales
Standard Class,Consumer,United States,New York City,New York,10035,East,Furniture,Bookcases,191.98,2.00,0.20,4.80,2.50,Profit,Low Sales
Second Class,Consumer,United States,Waynesboro,Virginia,22980,South,Furniture,Furnishings,104.01,1.00,0.00,14.56,14.00,Profit,Low Sales
Second Class,Consumer,United States,Waynesboro,Virginia,22980,South,Technology,Phones,284.82,1.00,0.00,74.05,26.00,Profit,Low Sales
Second Class,Consumer,United States,Waynesboro,Virginia,22980,South,Office Supplies,Storage,36.84,3.00,0.00,10.32,28.00,Profit,Low Sales
Standard Class,Consumer,United States,Los Angeles,California,90036,West,Technology,Accessories,166.24,1.00,0.00,24.94,15.00,Profit,Low Sales
Standard Class,Consumer,United States,Los Angeles,California,90036,West,Office Supplies,Paper,33.40,5.00,0.00,16.03,48.00,Profit,Low Sales
First Class,Home Office,United States,Chester,Pennsylvania,19013,East,Office Supplies,Art,198.27,8.00,0.20,17.35,8.75,Profit,Low Sales
First Class,Home Office,United States,Chester,Pennsylvania,19013,East,Office Supplies,Labels,47.36,4.00,0.20,17.76,37.50,Profit,Low Sales
First Class,Home Office,United States,Chester,Pennsylvania,19013,East,Office Supplies,Envelopes,200.98,7.00,0.20,62.81,31.25,Profit,Low Sales
First Class,Home Office,United States,Chester,Pennsylvania,19013,East,Office Supplies,Labels,97.70,4.00,0.20,31.75,32.50,Profit,Low Sales
First Class,Home Office,United States,Chester,Pennsylvania,19013,East,Office Supplies,Art,2.70,1.00,0.20,0.81,30.00,Profit,Low Sales
First Class,Home Office,United States,Chester,Pennsylvania,19013,East,Office Supplies,Binders,18.59,2.00,0.70,-13.63,-73.33,Loss,Low Sales
First Class,Home Office,United States,Chester,Pennsylvania,19013,East,Office Supplies,Binders,4.90,3.00,0.70,-3.43,-70.00,Loss,Low Sales
Standard Class,Corporate,United States,Cleveland,Ohio,44105,East,Furniture,Furnishings,15.07,3.00,0.20,4.14,27.50,Profit,Low Sales
Second Class,Corporate,United States,Seattle,Washington,98103,West,Furniture,Furnishings,209.88,3.00,0.00,35.68,17.00,Profit,Low Sales
Standard Class,Consumer,United States,Long Beach,California,90805,West,Furniture,Tables,369.91,3.00,0.20,-13.87,-3.75,Loss,Low Sales
Standard Class,Corporate,United States,Cary,North Carolina,27511,South,Office Supplies,Paper,10.37,2.00,0.20,3.63,35.00,Profit,Low Sales
Standard Class,Corporate,United States,Cary,North Carolina,27511,South,Office Supplies,Appliances,166.84,5.00,0.20,18.77,11.25,Profit,Low Sales
Standard Class,Corporate,United States,Cary,North Carolina,27511,South,Technology,Accessories,15.22,1.00,0.20,2.28,15.00,Profit,Low Sales
First Class,Consumer,United States,New York City,New York,10035,East,Technology,Accessories,119.96,4.00,0.00,52.78,44.00,Profit,Low Sales
First Class,Consumer,United States,New York City,New York,10035,East,Furniture,Bookcases,883.92,5.00,0.20,-110.49,-12.50,Loss,High Sales
First Class,Consumer,United States,New York City,New York,10035,East,Office Supplies,Binders,46.72,8.00,0.20,15.77,33.75,Profit,Low Sales
First Class,Home Office,United States,New York City,New York,10035,East,Office Supplies,Paper,55.48,1.00,0.00,26.63,48.00,Profit,Low Sales
Standard Class,Consumer,United States,Palm Coast,Florida,32137,South,Office Supplies,Envelopes,24.45,4.00,0.20,8.86,36.25,Profit,Low Sales
Standard Class,Corporate,United States,Mount Vernon,New York,10550,East,Office Supplies,Appliances,281.34,6.00,0.00,109.72,39.00,Profit,Low Sales
Standard Class,Corporate,United States,Mount Vernon,New York,10550,East,Technology,Phones,307.98,2.00,0.00,89.31,29.00,Profit,Low Sales
Standard Class,Corporate,United States,Mount Vernon,New York,10550,East,Technology,Accessories,299.97,3.00,0.00,113.99,38.00,Profit,Low Sales
Second Class,Corporate,United States,Seattle,Washington,98105,West,Office Supplies,Binders,19.92,5.00,0.20,6.97,35.00,Profit,Low Sales
First Class,Consumer,United States,Dover,Delaware,19901,East,Furniture,Furnishings,9.94,2.00,0.00,3.08,31.00,Profit,Low Sales
Standard Class,Consumer,United States,Newark,Ohio,43055,East,Furniture,Furnishings,103.06,3.00,0.20,24.48,23.75,Profit,Low Sales
Standard Class,Home Office,United States,Orem,Utah,84057,West,Office Supplies,Binders,59.81,3.00,0.20,19.44,32.50,Profit,Low Sales
Standard Class,Home Office,United States,Orem,Utah,84057,West,Furniture,Furnishings,73.32,6.00,0.00,22.00,30.00,Profit,Low Sales
Standard Class,Home Office,United States,Los Angeles,California,90045,West,Office Supplies,Paper,146.82,3.00,0.00,73.41,50.00,Profit,Low Sales
Standard Class,Corporate,United States,Detroit,Michigan,48205,Central,Furniture,Tables,1652.94,3.00,0.00,231.41,14.00,Profit,High Sales
Standard Class,Corporate,United States,Detroit,Michigan,48205,Central,Office Supplies,Storage,296.37,3.00,0.00,80.02,27.00,Profit,Low Sales
Standard Class,Home Office,United States,Philadelphia,Pennsylvania,19140,East,Furniture,Furnishings,129.92,5.00,0.20,21.11,16.25,Profit,Low Sales
Standard Class,Corporate,United States,Hialeah,Florida,33012,South,Office Supplies,Supplies,45.58,7.00,0.20,5.13,11.25,Profit,Low Sales
